--Rotas do 1º turno-----------------------------
180 -> 193 (4)
181 -> 340 (80)
182 -> 245 (129)
183 -> 193 (164)
184 -> 343 (154)
185 -> 245 (118)
186 -> 245 (47)
187 -> 245 (155)
188 -> 343 (120)
190 -> 343 (146)
191 -> 265 (66)
194 -> 3 (140)
195 -> 3 (105)
195 -> 148 (61)
196 -> 240 (193)
198 -> 311 (142)
200 -> 265 (153)
201 -> 265 (19)
202 -> 193 (183)
203 -> 193 (164)
204 -> 245 (26)
205 -> 343 (156)
206 -> 3 (98)
206 -> 193 (32)
207 -> 8 (8)
207 -> 47 (180)
207 -> 82 (114)
207 -> 148 (148)
207 -> 240 (103)
207 -> 248 (156)
207 -> 276 (183)
207 -> 280 (177)
207 -> 358 (141)
207 -> 381 (139)
208 -> 240 (165)
209 -> 265 (200)
210 -> 311 (195)
211 -> 3 (152)
212 -> 240 (193)
212 -> 251 (132)
212 -> 265 (44)
212 -> 333 (177)
212 -> 367 (3)
212 -> 375 (96)
212 -> 384 (147)
213 -> 148 (119)
213 -> 343 (19)
214 -> 265 (63)
215 -> 148 (30)
215 -> 265 (133)
215 -> 385 (112)
217 -> 104 (20)
217 -> 193 (89)
218 -> 61 (19)
218 -> 311 (32)
219 -> 265 (131)
219 -> 311 (11)
220 -> 109 (8)
220 -> 164 (190)
220 -> 168 (138)
220 -> 174 (194)
220 -> 186 (47)
220 -> 190 (70)
220 -> 193 (33)
220 -> 221 (131)
220 -> 342 (191)
221 -> 61 (133)
222 -> 240 (57)
223 -> 148 (172)
224 -> 148 (187)
225 -> 193 (179)
225 -> 240 (5)
226 -> 240 (116)
226 -> 265 (64)
227 -> 3 (143)
228 -> 61 (144)
228 -> 120 (39)
228 -> 183 (54)
228 -> 224 (155)
228 -> 240 (119)
228 -> 375 (104)
229 -> 61 (166)
231 -> 196 (22)
231 -> 245 (158)
231 -> 252 (29)
231 -> 273 (44)
231 -> 307 (29)
231 -> 366 (76)
231 -> 399 (95)
232 -> 3 (45)
232 -> 68 (37)
232 -> 148 (85)
232 -> 217 (109)
232 -> 284 (6)
232 -> 317 (172)
232 -> 382 (52)
232 -> 391 (61)
233 -> 245 (195)
233 -> 325 (6)
234 -> 148 (191)
235 -> 265 (25)
236 -> 3 (131)
236 -> 47 (5)
236 -> 136 (63)
236 -> 193 (19)
236 -> 245 (69)
236 -> 265 (11)
236 -> 326 (62)
237 -> 148 (77)
239 -> 193 (111)
241 -> 311 (155)
243 -> 245 (55)
243 -> 343 (26)
244 -> 148 (127)
244 -> 311 (39)
246 -> 311 (121)
247 -> 311 (91)
248 -> 61 (156)
250 -> 240 (73)
250 -> 265 (92)
251 -> 3 (200)
252 -> 3 (144)
253 -> 240 (147)
253 -> 265 (53)
254 -> 343 (127)
255 -> 305 (11)
256 -> 3 (84)
256 -> 240 (67)
257 -> 61 (161)
257 -> 112 (73)
257 -> 148 (93)
257 -> 193 (120)
258 -> 148 (184)
259 -> 3 (194)
260 -> 148 (103)
261 -> 148 (177)
261 -> 265 (15)
262 -> 25 (170)
262 -> 193 (13)
262 -> 245 (97)
262 -> 351 (118)
263 -> 62 (154)
263 -> 138 (49)
263 -> 148 (48)
263 -> 240 (102)
263 -> 267 (190)
264 -> 3 (56)
266 -> 61 (96)
267 -> 61 (108)
267 -> 311 (82)
268 -> 3 (166)
269 -> 3 (31)
269 -> 44 (70)
269 -> 61 (35)
269 -> 150 (186)
269 -> 240 (22)
270 -> 193 (29)
271 -> 3 (114)
272 -> 148 (187)
272 -> 368 (10)
273 -> 193 (165)
274 -> 304 (148)
274 -> 381 (39)
275 -> 61 (65)
276 -> 148 (127)
276 -> 311 (56)
277 -> 3 (61)
277 -> 311 (115)
278 -> 193 (160)
278 -> 265 (29)
279 -> 193 (172)
279 -> 240 (13)
280 -> 3 (128)
280 -> 193 (49)
281 -> 245 (140)
282 -> 148 (130)
282 -> 311 (48)
283 -> 191 (66)
284 -> 3 (135)
285 -> 245 (187)
286 -> 265 (78)
287 -> 193 (111)
287 -> 245 (36)
288 -> 3 (73)
289 -> 3 (135)
290 -> 311 (37)
291 -> 61 (159)
291 -> 148 (6)
292 -> 245 (123)
293 -> 61 (42)
294 -> 61 (193)
294 -> 193 (186)
295 -> 275 (30)
296 -> 3 (105)
297 -> 265 (96)
299 -> 193 (131)
300 -> 311 (122)
301 -> 61 (150)
301 -> 240 (7)
302 -> 311 (19)
303 -> 3 (142)
303 -> 193 (42)
304 -> 265 (148)
305 -> 265 (53)
306 -> 148 (180)
306 -> 245 (14)
307 -> 311 (164)
308 -> 61 (116)
308 -> 311 (80)
309 -> 61 (90)
309 -> 240 (124)
309 -> 265 (43)
310 -> 3 (118)
312 -> 148 (165)
312 -> 311 (11)
313 -> 245 (135)
313 -> 311 (34)
314 -> 61 (187)
315 -> 3 (121)
315 -> 61 (124)
315 -> 240 (180)
316 -> 3 (66)
316 -> 245 (88)
317 -> 265 (128)
317 -> 343 (44)
318 -> 39 (6)
318 -> 245 (18)
318 -> 389 (148)
319 -> 148 (138)
320 -> 275 (35)
321 -> 61 (92)
321 -> 144 (4)
323 -> 148 (142)
324 -> 240 (141)
325 -> 240 (42)
326 -> 245 (62)
328 -> 240 (126)
329 -> 3 (146)
330 -> 311 (64)
331 -> 343 (110)
332 -> 61 (180)
333 -> 148 (177)
334 -> 148 (153)
335 -> 240 (125)
336 -> 61 (131)
337 -> 265 (195)
338 -> 265 (83)
340 -> 265 (80)
341 -> 61 (172)
342 -> 245 (191)
344 -> 193 (141)
345 -> 311 (72)
347 -> 3 (112)
348 -> 3 (186)
348 -> 61 (38)
348 -> 193 (181)
348 -> 265 (140)
349 -> 311 (114)
350 -> 193 (115)
